AFG,Afghanistan,Afghan-Red-Crescent-Society,Afghan Red Crescent Society
ALB,Albania,Albanian-Red-Cross,Albanian Red Cross
DZA,Algeria,Algerian-Red-Crescent,Algerian Red Crescent
USA,United States,American-Red-Cross,American Red Cross
AND,Andorra,Andorran-Red-Cross,Andorran Red Cross
AGO,Angola,Angola-Red-Cross,Angola Red Cross
ATG,Antigua and Barbuda,Antigua-and-Barbuda-Red-Cross-Society,Antigua and Barbuda Red Cross Society
ARG,Argentina,Argentine-Red-Cross,Argentine Red Cross
ARM,Armenia,Armenian-Red-Cross-Society,Armenian Red Cross Society
AUS,Australia,Australian-Red-Cross,Australian Red Cross
AUT,Austria,Austrian-Red-Cross,Austrian Red Cross
BHR,Bahrain,Bahrain-Red-Crescent-Society,Bahrain Red Crescent Society
BGD,Bangladesh,Bangladesh-Red-Crescent-Society,Bangladesh Red Crescent Society
SWZ,Swaziland,Baphalali-Swaziland-Red-Cross-Society,Baphalali Swaziland Red Cross Society
BLR,Belarus,Belarus-Red-Cross,Belarus Red Cross
BEL,Belgium,Belgian-Red-Cross,Belgian Red Cross
BLZ,Belize,Belize-Red-Cross-Society,Belize Red Cross Society
BOL,Bolivia,Bolivian-Red-Cross,Bolivian Red Cross
BWA,Botswana,Botswana-Red-Cross-Society,Botswana Red Cross Society
BRA,Brazil,Brazilian-Red-Cross,Brazilian Red Cross
GBR,United Kingdom,British-Red-Cross,British Red Cross
BRN,Brunei Darussalam,Brunei-Darussalam-Red-Crescent-Society,Brunei Darussalam Red Crescent Society
BGR,Bulgaria,Bulgarian-Red-Cross,Bulgarian Red Cross
BFA,Burkina Faso,Burkinabe-Red-Cross-Society,Burkinabe Red Cross Society
BDI,Burundi,Burundi-Red-Cross,Burundi Red Cross
KHM,Cambodia,Cambodian-Red-Cross-Society,Cambodian Red Cross Society
CMR,Cameroon,Cameroon-Red-Cross-Society,Cameroon Red Cross Society
CAF,Central African Republic,Central-African-Red-Cross-Society,Central African Red Cross Society
CHL,Chile,Chilean-Red-Cross,Chilean Red Cross
COL,Colombia,Colombian-Red-Cross-Society,Colombian Red Cross Society
COG,Congo,Congolese-Red-Cross,Congolese Red Cross
COK,Cook Islands,Cook-Islands-Red-Cross-Society,Cook Islands Red Cross Society
CRI,Costa Rica,Costa-Rican-Red-Cross,Costa Rican Red Cross
HRV,Croatia,Croatian-Red-Cross,Croatian Red Cross
CUB,Cuba,Cuban-Red-Cross,Cuban Red Cross
CYP,Cyprus,Cyprus-Red-Cross-Society,Cyprus Red Cross Society
CZE,Czech Republic,Czech-Red-Cross,Czech Red Cross
DNK,Denmark,Danish-Red-Cross,Danish Red Cross
DMA,Dominica,Dominica-Red-Cross-Society,Dominica Red Cross Society
DOM,Dominican Republic,Dominican-Red-Cross,Dominican Red Cross
ECU,Ecuador,Ecuadorian-Red-Cross,Ecuadorian Red Cross
EGY,Egypt,Egyptian-Red-Crescent-Society,Egyptian Red Crescent Society
EST,Estonia,Estonia-Red-Cross,Estonia Red Cross
ETH,Ethiopia,Ethiopian-Red-Cross-Society,Ethiopian Red Cross Society
FJI,Fiji,Fiji-Red-Cross-Society,Fiji Red Cross Society
FIN,Finland,Finnish-Red-Cross,Finnish Red Cross
FRA,France,French-Red-Cross,French Red Cross
GAB,Gabon,Gabonese-Red-Cross-Society,Gabonese Red Cross Society
DEU,Germany,German-Red-Cross,German Red Cross
GHA,Ghana,Ghana-Red-Cross-Society,Ghana Red Cross Society
GRD,Grenada,Grenada-Red-Cross-Society,Grenada Red Cross Society
GTM,Guatemala,Guatemalan-Red-Cross,Guatemalan Red Cross
HTI,Haiti,Haiti-Red-Cross-Society,Haiti Red Cross Society
GRC,Greece,Hellenic-Red-Cross,Hellenic Red Cross
HND,Honduras,Honduran-Red-Cross,Honduran Red Cross
HUN,Hungary,Hungarian-Red-Cross,Hungarian Red Cross
ISL,Iceland,Icelandic-Red-Cross,Icelandic Red Cross
IND,India,Indian-Red-Cross-Society,Indian Red Cross Society
IDN,Indonesia,Indonesian-Red-Cross-Society,Indonesian Red Cross Society
IRQ,Iraq,Iraqi-Red-Crescent-Society,Iraqi Red Crescent Society
IRL,Ireland,Irish-Red-Cross-Society,Irish Red Cross Society
ITA,Italy,Italian-Red-Cross,Italian Red Cross
JAM,Jamaica,Jamaica-Red-Cross,Jamaica Red Cross
JPN,Japan,Japanese-Red-Cross-Society,Japanese Red Cross Society
JOR,Jordan,Jordan-National-Red-Crescent-Society,Jordan National Red Crescent Society
KAZ,Kazakhstan,Kazakh-Red-Crescent,Kazakh Red Crescent
KEN,Kenya,Kenya-Red-Cross-Society,Kenya Red Cross Society
KIR,Kiribati,Kiribati-Red-Cross-Society,Kiribati Red Cross Society
KWT,Kuwait,Kuwait-Red-Crescent-Society,Kuwait Red Crescent Society
LAO,Lao PDR,Lao-Red-Cross,Lao Red Cross
LVA,Latvia,Latvian-Red-Cross,Latvian Red Cross
LBN,Lebanon,Lebanese-Red-Cross,Lebanese Red Cross
LSO,Lesotho,Lesotho-Red-Cross-Society,Lesotho Red Cross Society
LBR,Liberia,Liberian-Red-Cross-Society,Liberian Red Cross Society
LBY,Libya,Libyan-Red-Crescent,Libyan Red Crescent
LIE,Liechtenstein,Liechtenstein-Red-Cross,Liechtenstein Red Cross
LTU,Lithuania,Lithuanian-Red-Cross-Society,Lithuanian Red Cross Society
LUX,Luxembourg,Luxembourg-Red-Cross,Luxembourg Red Cross
ISR,Israel,Magen-David-Adom-in-Israel,Magen David Adom in Israel
MDG,Madagascar,Malagasy-Red-Cross-Society,Malagasy Red Cross Society
MWI,Malawi,Malawi-Red-Cross-Society,Malawi Red Cross Society
MYS,Malaysia,Malaysian-Red-Crescent-Society,Malaysian Red Crescent Society
MDV,Maldives,Maldivian-Red-Crescent,Maldivian Red Crescent
MLI,Mali,Mali-Red-Cross,Mali Red Cross
MLT,Malta,Malta-Red-Cross-Society,Malta Red Cross Society
MRT,Mauritania,Mauritanian-Red-Crescent,Mauritanian Red Crescent
MUS,Mauritius,Mauritius-Red-Cross-Society,Mauritius Red Cross Society
MEX,Mexico,Mexican-Red-Cross,Mexican Red Cross
